,genes,logfoldchange,pvals
0,LINC00958,4.9182281494140625,2.1318652950643244e-08
1,SRGN,3.9798355102539062,2.0843580576189843e-06
2,AXL,3.3986456394195557,0.02425324490819169
3,PAPPA,3.0002312660217285,0.012607134016389602
4,MT1A,2.674354076385498,0.04560293874379171
5,HLA-G,2.4571545124053955,4.03444228300869e-26
6,FHL1,2.4223477840423584,4.4615435416941575e-08
7,MMP1,2.408940315246582,0.002959847367524183
8,BAIAP2L2,2.4081315994262695,0.00027820929555193646
9,NEURL1,2.3012032508850098,2.659554831014688e-14
10,ETV5,2.287489175796509,0.0026866945879993522
11,FOSL1,2.27679443359375,4.811806348984262e-38
12,G0S2,2.1805570125579834,1.1972884619401584e-25
13,NT5E,2.0923213958740234,5.591746405584298e-06
14,ANKRD1,2.06752347946167,2.209804787457487e-09
15,GAL,1.9999436140060425,3.2824003952424514e-118
16,MAD1L1,1.9855079650878906,1.2577353830653465e-07
17,CD74,1.9344829320907593,6.0498673877809795e-06
18,HBM,1.9298534393310547,0.02504097942040453
19,STXBP1,1.9071071147918701,0.034496371502062195
20,RP11-180O5.2,1.8873952627182007,3.840424407248564e-05
21,FAM127C,1.8856382369995117,0.020474973048867758
22,CCDC86,1.8753477334976196,0.028980800964833405
23,POLR3G,1.8650246858596802,5.943158357502303e-06
24,MICAL2,1.86091148853302,0.0009036526546418452
25,PCED1B,1.849714756011963,3.8024269686376614e-06
26,ESPN,1.8260676860809326,8.965960562816098e-10
27,PDHX,1.7912882566452026,3.2164585317981912e-40
28,ODC1,1.7804322242736816,8.547539691051255e-06
29,PRRT3-AS1,1.7401721477508545,1.5369192067792945e-22
30,LY6D,1.7332278490066528,1.284345635408672e-52
31,CKMT1B,1.7106250524520874,2.158349477829603e-08
32,CST6,1.6896191835403442,5.3276148468047806e-77
33,DUSP6,1.689430832862854,1.7304064143822532e-07
34,EREG,1.6839656829833984,4.96416292843568e-05
35,PPIF,1.6805654764175415,9.454019803381156e-30
36,AREG,1.6775840520858765,6.436770164291032e-39
37,TEX40,1.6678698062896729,5.825967526381669e-05
38,FST,1.6580644845962524,0.0021687349534824938
39,ST6GALNAC4,1.6562072038650513,5.726611412568784e-07
40,BNIP3,1.6250417232513428,1.8429929558851745e-34
41,SPANXC,1.6235076189041138,1.55264387964879e-05
42,PAK1IP1,1.6179463863372803,4.29544704645751e-46
43,IL32,1.6067781448364258,0.0009057692152274219
44,MROH6,1.592686414718628,0.043264076960935066
45,IRAK1,1.5719921588897705,5.694234908297409e-06
46,CAMK1,1.5685003995895386,9.93665761035317e-06
47,ATAD3C,1.5564775466918945,0.008134449518482955
48,KLK5,1.553008794784546,3.203126685545633e-43
49,LINC01029,1.5480613708496094,2.3092487418196237e-05
50,SERPINE2,1.5460755825042725,1.1466938513168117e-06
51,SEMA3A,1.545235276222229,0.031814665199215934
52,DDX21,1.524775743484497,1.259417438140961e-133
53,RPP40,1.522966742515564,1.7913138365262002e-25
54,TRIML2,1.5212267637252808,3.543713020162419e-39
55,NAA10,1.504678726196289,1.772151191495526e-92
56,RHOF,1.5037752389907837,3.222979343101606e-16
57,CD3EAP,1.497488260269165,2.5855685503201244e-36
58,PNO1,1.4941236972808838,8.143293437095728e-21
59,CPSF4,1.4853750467300415,0.026587616561589016
60,CEP83,1.4823527336120605,0.0013797067632986336
61,TRMT61A,1.470315933227539,0.004121142149992892
62,NOC3L,1.4629076719284058,3.0802516925210517e-22
