,genes,logfoldchange,pvals
534,RPL10,-0.5779762268066406,0.0003236931926402769
535,RPS17,-0.6025590300559998,8.39395564132608e-05
536,CAV1,-0.6030193567276001,0.025789630614881407
537,ARPC5L,-0.6036130785942078,0.03739691360001689
538,RPL7A,-0.6153377294540405,3.2252076459411504e-05
539,CALD1,-0.6161132454872131,0.04125100822009923
540,RPL5,-0.6211241483688354,2.170884118256396e-05
541,TUBA1C,-0.6282953023910522,0.01729156323832439
542,NACA,-0.6353214383125305,1.989474683869017e-05
543,PLAC8,-0.6526326537132263,0.04250868687672508
544,RPL34,-0.6558694243431091,1.0321765925405866e-05
545,TCEAL4,-0.6561657190322876,0.012532411376012896
546,SMC2,-0.6609917879104614,0.01771750080812534
547,MCTS1,-0.6676816940307617,0.03484986929801898
548,RPL36A,-0.6681975722312927,0.04017653308129163
549,NDUFA11,-0.673964262008667,0.0013047929519004718
550,RPL39,-0.6749037504196167,9.371337043279395e-05
551,FABP5,-0.6794081926345825,0.019443370741388473
552,PDHB,-0.6823262572288513,0.019678085716941424
553,ANP32B,-0.6925162076950073,0.00017949449652639204
554,BPTF,-0.6949961185455322,0.024582002250756792
555,UBQLN1,-0.6972833275794983,0.03559623936215248
556,LMNA,-0.6981626152992249,0.017392592469576987
557,MRPS16,-0.7005758285522461,0.019382544478450555
558,CLNS1A,-0.7076060175895691,0.03846287202086469
559,S100A10,-0.7089191675186157,0.0004848628196664828
560,S100A6,-0.7117014527320862,0.027048228488084296
561,CCND1,-0.7120163440704346,0.01737418510967607
562,GRSF1,-0.7267271876335144,0.0113186538494733
563,RPS6,-0.7316675782203674,0.0002953150705095289
564,SSR4,-0.7354153394699097,0.02526229004826797
565,RPS4X,-0.7368263602256775,8.08576804590951e-05
566,RPS3,-0.7408022284507751,1.598391254170556e-05
567,TIMM17A,-0.7414524555206299,0.025919685159403467
568,GNL3,-0.7472231984138489,0.007608819380234082
569,MORF4L2,-0.7473185658454895,0.045079657751388766
570,DNAJC1,-0.7494116425514221,0.012293025432879847
571,MYL6,-0.7515162825584412,2.4114688665708223e-05
572,SLC3A2,-0.7544587850570679,0.02523680659542513
573,LIMA1,-0.7552056312561035,0.03510279823010258
574,SNX3,-0.7618136405944824,0.013702477229507683
575,PSMB4,-0.7714155912399292,0.004086920879678578
576,CCNI,-0.773074746131897,7.337370349915081e-05
577,VIMP,-0.7738543748855591,0.03653083768590037
578,MIR4435-2HG,-0.7817204594612122,0.01940280139927182
579,SLC25A5,-0.7826688289642334,0.0005279798608616264
580,HAX1,-0.7827941179275513,0.034249181740440164
581,FNDC3B,-0.7842458486557007,0.038080539828388216
582,M6PR,-0.7876988053321838,0.007599980154806661
583,FIP1L1,-0.789899468421936,0.04197420315582518
584,RHOC,-0.7953120470046997,0.00609655596625871
585,FLNA,-0.7956450581550598,0.03486668267752041
586,SSR2,-0.8025399446487427,0.0017375663599630109
587,CDK4,-0.8060270547866821,0.006060417197976873
588,CHTOP,-0.811560869216919,0.034833062842330946
589,MRPL55,-0.8298543095588684,0.04323027622126845
590,UBE2T,-0.8337002992630005,0.0009130392177325561
591,IL18,-0.856001079082489,0.042290243409104034
592,PGK1,-0.8595939874649048,0.00025924523830718184
593,ARL6IP5,-0.8682740926742554,0.030466391461016352
594,SGOL1,-0.8802022933959961,0.044829283161479744
595,CD55,-0.8965646028518677,0.007090330505725983
596,TROVE2,-0.9033030867576599,0.036882251746680104
597,MFSD14B,-0.921168327331543,0.044126249423873484
598,LAGE3,-0.9232751727104187,0.031840640490288966
599,SFSWAP,-0.9274225831031799,0.024076142440835904
600,DPYSL2,-0.9462617635726929,0.01791498861517383
601,UBALD2,-0.9766513109207153,0.04549956857048272
602,CDCA3,-0.982750415802002,0.048443244825243474
603,ATP1B1,-0.9868808388710022,0.021292366704837657
604,KIF21A,-1.014713168144226,0.035853781198218866
605,ZCRB1,-1.024314522743225,0.009347632345920356
606,HMGA2,-1.027494192123413,0.0017843418555823004
607,RSF1,-1.0384513139724731,0.002785713638324623
608,MRPL48,-1.039712905883789,0.02649868401547336
609,BMI1,-1.0519942045211792,0.01123698528974205
610,MPZL1,-1.0577576160430908,0.030616526288935218
611,PRSS23,-1.069500207901001,0.0021737815423954767
612,ELOVL5,-1.0812498331069946,0.01686566831136452
613,FAM103A1,-1.088897943496704,0.00798387256193203
614,USO1,-1.0930427312850952,0.018645915355086307
615,MOSPD1,-1.0968704223632812,0.0396295004907175
616,BDNF,-1.0981169939041138,0.011426246167625803
617,UACA,-1.0994625091552734,0.04365596366019934
618,OGT,-1.1042290925979614,0.04414679326539336
619,GON4L,-1.1107500791549683,0.039836246869842926
620,TBK1,-1.1219305992126465,0.018392977455567734
621,OXA1L,-1.1400727033615112,0.01288155020199166
622,SGMS2,-1.141582727432251,0.029418508977170434
623,FAM127B,-1.1647976636886597,0.0018988557581883522
624,WBP5,-1.1697725057601929,0.0009016265050289425
625,GALNT2,-1.1733709573745728,0.034515052770276916
626,GRPEL2,-1.188385248184204,0.042548506223279964
627,SLC10A3,-1.199892520904541,0.048443244825243474
628,FHL1,-1.2138761281967163,0.022130545422506826
629,EFNA5,-1.2195554971694946,0.035853781198218866
630,LAMP2,-1.2543212175369263,0.018441384805048353
631,PRKAG1,-1.2567088603973389,0.019791212810484737
632,FAM50A,-1.2764211893081665,0.00030025380459601785
633,F3,-1.2787612676620483,0.02984271134966728
634,PODXL,-1.2837413549423218,0.014334559576367785
635,FUNDC2,-1.2859277725219727,0.004269730340017353
636,DECR1,-1.2872943878173828,0.0028541247226250436
637,ZBTB7A,-1.300085186958313,0.020081738663112424
638,VAMP7,-1.334943413734436,0.03746837889264135
639,SAT1,-1.3572660684585571,0.02614207949940276
640,CELF2,-1.4125611782073975,0.007769509200633176
641,FAM127A,-1.4537808895111084,0.00081727215546007
642,KLF4,-1.4870939254760742,0.02831726499526789
643,PTGR1,-1.4985038042068481,0.006184082184338338
644,RP11-83A24.2,-1.5069512128829956,0.03280200602154162
645,UCK2,-1.587496042251587,0.0018129599099690344
646,C9orf3,-1.5930523872375488,0.0015615199958025753
647,HS2ST1,-1.6163687705993652,0.033219261571215075
648,MKNK2,-1.6623376607894897,0.012678016013061962
649,C5orf63,-1.7019932270050049,0.022051119258064106
650,TGFB2,-1.850353717803955,0.04225062861402244
651,LSR,-2.0620007514953613,0.03237346005745934
652,DMKN,-2.131361246109009,0.004186438518908249
653,GABPB2,-2.142275810241699,0.02952042486296403
654,WDR47,-2.2299740314483643,0.0004992199744355241
655,DLC1,-2.3873114585876465,0.014264799106755327
656,S100A2,-2.6259615421295166,0.024015074042019063
657,TGFBI,-2.627915143966675,0.024408243827734686
658,CATSPER1,-2.6488606929779053,0.04609297772899558
659,ZNF175,-2.779416561126709,0.03478268499603784
660,PTGES,-2.9327945709228516,0.013016462727124046
661,SPARC,-3.3660192489624023,0.001838346089706808
662,KRT81,-4.222577095031738,3.6135167776581298e-06
663,KRT7,-4.35528039932251,3.5593798874593334e-06
